source,target,no_of_reports_coauthored,no_of_srrs_coauthored,no_of_psrs_coauthored,percent_srrs
17,40,1.0,0.0,1.0,0.0
17,46,1.0,0.0,1.0,0.0
17,49,1.0,0.0,1.0,0.0
17,60,1.0,0.0,1.0,0.0
17,67,1.0,0.0,1.0,0.0
17,69,1.0,0.0,1.0,0.0
17,70,1.0,0.0,1.0,0.0
17,71,1.0,0.0,1.0,0.0
17,73,1.0,0.0,1.0,0.0
17,74,1.0,0.0,1.0,0.0
17,76,1.0,0.0,1.0,0.0
17,77,1.0,0.0,1.0,0.0
17,80,1.0,0.0,1.0,0.0
17,82,1.0,0.0,1.0,0.0
17,85,1.0,0.0,1.0,0.0
17,87,1.0,0.0,1.0,0.0
